"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
C57BL/6J,m,F19,all,,0.792,0.3995,0.464,1.655,43.15,83.3,357.5,423,33.8,1.548
C57BL/6J,m,F20,all,,1.0755,0.281,0.5605,1.92,34.5,51.5,203.5,281,33.65,1.570
C57BL/6J,m,F27,all,,0.5435,0.4165,0.3955,1.355,102.15,211.5,193,302,34.6,0.317
C57BL/6J,m,F28,all,,1.006,0.578,0.4845,2.07,140.85,296.5,431,405,28.5,0.524
C57BL/6J,m,F29,all,,0.901,0.7515,0.7435,2.395,134.5,194,264.5,290.5,32.45,1.567
C57BL/6J,m,F30,all,,0.7245,0.5055,0.3645,1.595,94.85,293.5,359,871.5,29.85,0.800
C57BL/6J,m,P71,all,23.1,0.9535,0.405,0.403,1.76,170.5,268.5,594,456.5,27,1.149
C57BL/6J,m,P72,all,22.4,0.625,0.1525,0.1865,0.964,109.35,349.5,371,662.5,23.6,0.606
C57BLKS/J,f,P618,all,18.3,1.085,0.3755,0.4035,1.865,103.15,184,568.5,272.5,26.25,1.880
C57BLKS/J,f,P619,all,17.1,0.985,0.138,0.2375,1.3585,128,361.5,664.5,620.5,24.35,0.318
C57BLKS/J,f,P620,all,17.6,0.43,0.255,0.1935,0.8785,164,212.5,311.5,485.5,24.45,0.625
C57BLKS/J,f,P621,all,17.5,0.587,0.3755,0.296,1.258,84.15,235,399.5,410.5,25.65,0.500
C57BLKS/J,f,P622,all,17.2,0.7645,0.4515,0.33,1.545,92.35,291,408.5,560.5,29.25,0.826
C57BLKS/J,f,P623,all,18.8,0.43,0.307,0.252,0.9875,111.5,148.35,207,550.5,22.65,0.746
C57BLKS/J,f,P624,all,17.7,0.694,0.17465,0.2145,1.086,89.85,228.5,660,904,21.5,0.971
C57BLKS/J,f,P625,all,18.7,0.662,0.2885,0.239,1.1875,56.85,121.5,167,294,26.7,0.840
C57BLKS/J,f,P626,all,16.6,0.5235,0.3915,0.194,1.11,83.5,163,340,542.5,23.1,0.485
C57BLKS/J,f,P627,all,19.1,0.814,0.2835,0.2245,1.32,127,496.5,591,773.5,21.6,0.833
C57BLKS/J,m,P645,all,17.4,0.811,0.194,0.5375,1.54,179,644,1012.5,1321.5,23.7,0.840
C57BLKS/J,m,P646,all,21.3,0.6025,0.966,0.484,2.055,60.35,139,149,164.5,39.25,0.356
C57BLKS/J,m,P647,all,21.3,0.614,0.2235,0.2345,1.0745,104.85,250.5,519.5,765.5,25.55,0.800
C57BLKS/J,m,P648,all,20.3,0.7935,0.8395,0.755,2.385,74.7,84.5,119.65,105.8,34.35,1.000
C57BLKS/J,m,P649,all,21.4,0.836,0.2125,0.488,1.535,80.65,268.5,657.5,844,21.85,0.543
C57BLKS/J,m,P650,all,21,0.541,0.465,0.5425,1.55,78,69.35,105,130.5,32.35,1.005
C57BLKS/J,m,P651,all,21.8,0.5095,0.2375,0.279,1.028,112.35,104.85,400.5,840,22.3,0.870
C57BLKS/J,m,P652,all,22,0.5975,0.4275,0.3405,1.365,102.5,100.85,216,265,27.5,3.953
C57BLKS/J,m,P653,all,23.1,0.999,0.3705,0.4205,1.79,80.35,223,727,536.5,27.85,0.781
C57BLKS/J,m,P654,all,19.4,1.045,0.1455,0.5415,1.735,142.5,386,1044,1409,24.95,1.151
C57BR/cdJ,f,P593,all,16.7,0.9915,0.8975,1.015,2.91,68.65,90.85,82,106.55,30.1,0.448
C57BR/cdJ,f,P594,all,16.7,0.481,0.78,0.4005,1.66,55.2,246,153,256,25.8,1.464
C57BR/cdJ,f,P595,all,18,0.5945,0.698,0.6535,1.945,57.85,87,193.5,200.5,28.75,0.420
C57BR/cdJ,f,P596,all,17.1,0.82,1.178,0.8605,2.86,71,61.15,92.35,93.1,32.85,0.565
C57BR/cdJ,f,P597,all,16.5,0.7065,0.5415,0.4695,1.72,86.85,116.65,157.85,155,23.7,2.392
C57BR/cdJ,f,P598,all,16.8,0.466,0.281,0.3075,1.055,64,171,450,313.5,26.75,0.800
C57BR/cdJ,f,P599,all,15.3,0.904,0.7405,0.899,2.545,56.65,61.2,158,108.4,26.8,0.752
C57BR/cdJ,f,P600,all,16.7,0.584,0.782,0.6455,2.015,82.5,80.85,116.5,137.5,37.25,1.091
C57BR/cdJ,f,P601,all,18.6,0.88,0.9725,0.6875,2.535,56,84.35,129,111,25.75,0.585
C57BR/cdJ,f,P602,all,17.3,0.825,0.705,0.892,2.425,56.5,50.8,67,91.8,29.05,1.335
C57BR/cdJ,m,P545,all,22.7,1.13,1.01,0.7735,2.915,139.5,118,208.5,152,41.7,0.926
